LIBGEO,prop_tertiaire
Antigny-la-Ville,0.75
Antilly,0.642857142857143
Antilly,0.923076923076923
Antin,0.75
Antisanti,0.490451799296613
Antisanti,0
Antist,0.714285714285714
Antogny-le-Tillac,0.500171074754296
Antoigné,0.593792483227287
Antoigny,0
Antoingt,0.556160005854725
Antonaves,0
Antonne-et-Trigonant,0.819843832455943
Antony,0.889258845708864
Antorpe,0
Antran,0.544387948410274
Antras,1
Antras,0
Antrenas,0.771718351261437
Antugnac,0.729776900555848
Antully,0.678622722130301
Anvéville,0.666533110248567
Anville,0
Anvin,0.709677419354839
Any-Martin-Rieux,0.586206896551724
Anzat-le-Luguet,0.230769230769231
Anzeling,0.639829159390439
Anzême,0.880952380952381
Anzex,0.818939207477913
Anzin,0.750961492144996
Anzin-Saint-Aubin,0.876908691868081
Anzy-le-Duc,0.740740740740741
Aoste,0.662645682314272
Aougny,0.545454545454545
Aouste,0.538461538461538
Aouste-sur-Sye,0.734477712552283
Aouze,0.7
Apach,0.83304032061504
Apatou,0.934782608695652
Apchat,0.375
Apchon,0.545454545454545
Apinac,0.740968496635157
Appelle,0.666666666666667
Appenai-sous-Bellême,0.635671668265486
Appenans,0.666666666666667
Appenwihr,0.755812530784328
Appeville,0.333333333333334
Appeville-Annebault,0.701484449972447
Appietto,0.799293274616104
Appietto,0
Appilly,0.644018942590495
Appoigny,0.790414583606458
Apprieu,0.658980046287838
Appy,1
Apremont,0.333333333333334
Apremont,0.58633169006488
Apremont,0.657810290032389
Apremont,0.697590846635491
Apremont,0.725774928023737
Apremont,0.82580285618845
Apremont-la-Forêt,0.714285714285714
Apremont-sur-Allier,1
Aprey,0.625
Apt,0.729980667689018
Arabaux,1
Arâches-la-Frasse,0.881118881118881
Aragnouet,0.91983756333851
Aragon,0.769230769230769
Aramits,0.669482929688471
Aramon,0.784199691340942
Aranc,0.706118799529515
Arance,0
Arancou,0.75
Arandas,0.769230769230769
Arandon,0
Arandon-Passins,0.620967741935484
Araujuzon,0.5
Araules,0.511413768436768
Araux,1
Arbanats,0.805222526674392
Arbas,0.612394793117259
Arbecey,0.523538729762833
Arbellara,0.62
Arbellara,0
Arbent,0.557889561882994
Arbéost,0.285714285714286
Arbérats-Sillègue,0.761904761904762
Arbigny,0.823529411764706
Arbigny-sous-Varennes,0.4
Arbin,0.693467090453721
Arblade-le-Bas,0.666666666666667
Arblade-le-Haut,0.785135507550795
Arbois,0.76885622570651
Arbon,1
Arbonne,0.826310333148125
Arbonne-la-Forêt,0.898757132151053
Arboras,0.888888888888889
Arbori,0.692307692307692
Arbori,0
Arbot,0.5
Arbouans,0.589257863618765
Arboucave,0.3
Arbouet-Sussaute,0.631578947368421
Arbourse,1
Arboussols,0.8
Arboys en Bugey,0.652180609722958
Arbrissel,0.660599212492654
Arbuissonnas,0
Arbus,0.744505452456676
Arbusigny,0.722906868594082
Arcachon,0.872797115272105
Arçais,0.714298625932924
Arcambal,0.583304652078658
Arcangues,0.773832940025944
Arçay,0.724180615308938
Arçay,0.826086956521739
Arceau,0.796969607439453
Arcenant,0.797721999714534
Arc-en-Barrois,0.661896712078315
Arcens,0.478611465352258
Arces,0.752385897817131
Arces-Dilo,0.606031052074821
Arc-et-Senans,0.704138524408791
Arcey,0.571428571428571
Arcey,0.731182795698925
Archail,1
Archamps,0.842143306346022
Archelange,0.818181818181818
Arches,0.571428571428571
Arches,0.726360112148798
Archettes,0.673405999915589
Archiac,0.706744822813818
Archignac,0.699776174396194
Archignat,0.764508573430526
Archigny,0.7580212969087
Archingeay,0.762756042875881
Archon,0.666666666666667
Arcier,0
Arcine,0
Arcinges,0.5
Arcins,0.647058823529412
Arcis-le-Ponsart,0.714285714285714
Arcisses,0.66766176901725
Arcis-sur-Aube,0.793893129770992
Arcizac-Adour,0.757575757575758
Arcizac-ez-Angles,0.809639883797728
Arcizans-Avant,0.777542723100202
Arcizans-Dessus,0.875
Arc-lès-Gray,0.59114603623571
Arcomie,0
Arcomps,0.665917568668263
Arcon,0.75
Arçon,0.644736842105263
Arconcey,0.866666666666667
Arçonnay,0.739893436877936
Arconsat,0.365327270234388
Arconville,0.5
Arc-sous-Cicon,0.571016685351316
Arc-sous-Montenot,0.733333333333333
Arc-sur-Tille,0.831460674157303
Arcueil,0.905303610308811
Arcy-Sainte-Restitue,0.794669553422002
Arcy-sur-Cure,0.82258910618838
Ardelles,0.846153846153846
Ardelu,0.8
Ardenais,0.636363636363636
Ardenay-sur-Mérize,0.780487804878049
Ardengost,1
Ardentes,0.697200341686605
Ardes,0.696074400349759
Ardeuil-et-Montfauxelles,1
Ardevon,0
