CODGEO,salaire_moyen,REG,DEP,ent_total,pop_totale,age_moyen,densite_commune,IDF,ratio_homme,ratio_femme,ratio_solo,ratio_e2p,ratio_ase,ratio_e1p,ratio_ac,ratio_ace,ratio_str,ratio_ETI_GE,ratio_PME,ratio_TPE,ratio_enfant,ratio_jeune_actif,ratio_actif,ratio_senior_actif,ratio_senior
06159,15.2,93,6,688,4976,46.25,3,0,0.48010450160771706,0.519895498392283,0.19131832797427653,0.1641881028938907,0.03918810289389067,0.056471061093247586,0.319935691318328,0.1997588424437299,0.029139871382636656,0.0,0.01744186046511628,0.21511627906976744,0.20558681672025725,0.08782154340836013,0.319935691318328,0.06812700964630225,0.31852893890675243
06161,15.4,93,6,2132,13570,39.28076639646279,3,0,0.48526160648489314,0.5147383935151069,0.17457627118644067,0.19491525423728814,0.0470891672807664,0.0660280029476787,0.24627855563743553,0.23301400147383936,0.03809874723655122,0.0009380863039399625,0.05300187617260788,0.22373358348968106,0.263448784082535,0.11982313927781872,0.369933677229182,0.05814296241709654,0.18865143699336773
06163,11.6,93,6,188,1796,44.42093541202673,1,0,0.4704899777282851,0.529510022271715,0.24053452115812918,0.17093541202672605,0.023942093541202674,0.034521158129175944,0.2767260579064588,0.19487750556792874,0.05846325167037862,0.0,0.010638297872340425,0.20212765957446807,0.22160356347438753,0.07293986636971046,0.3413140311804009,0.08964365256124722,0.2744988864142539
07010,12.2,84,7,1082,15515,40.46310022558814,2,0,0.47560425394779243,0.5243957460522075,0.23074444086368032,0.17157589429584275,0.0455043506284241,0.0779890428617467,0.2607154366741863,0.18285530132130196,0.03061553335481792,0.0027726432532347504,0.0711645101663586,0.3290203327171904,0.2810183693200129,0.1161456654850145,0.30757331614566547,0.06786980341604898,0.22739284563325815
07019,11.7,84,7,1410,11132,41.385644987423646,2,0,0.4606539705353935,0.5393460294646065,0.26131872080488683,0.1501077973409989,0.05434782608695652,0.08372260150916278,0.24820337765001796,0.166097736255839,0.03620194035213798,0.0007092198581560284,0.07446808510638298,0.3645390070921986,0.28799856270212,0.1013295005389867,0.29886812791951134,0.06737333812432626,0.2444304707150557
07041,12.5,84,7,118,2120,39.37264150943396,2,0,0.4839622641509434,0.5160377358490567,0.12924528301886792,0.22877358490566038,0.03443396226415094,0.05235849056603774,0.29339622641509433,0.23349056603773585,0.02830188679245283,0.0,0.06779661016949153,0.2796610169491525,0.28443396226415096,0.11037735849056604,0.3400943396226415,0.05849056603773585,0.20660377358490567
07042,13.6,84,7,372,6830,38.73865300146413,2,0,0.48726207906295754,0.5127379209370425,0.15168374816983896,0.22371888726207906,0.034699853587115664,0.0575402635431918,0.2500732064421669,0.24494875549048317,0.03733528550512445,0.002688172043010753,0.0456989247311828,0.29301075268817206,0.3021961932650073,0.11405563689604685,0.33396778916544656,0.06178623718887262,0.18799414348462665
07055,14.0,84,7,142,2656,35.86408132530121,2,0,0.4917168674698795,0.5082831325301205,0.10278614457831325,0.24623493975903615,0.03953313253012048,0.07341867469879518,0.24322289156626506,0.2740963855421687,0.020707831325301206,0.0,0.056338028169014086,0.2676056338028169,0.32153614457831325,0.11031626506024096,0.3746234939759036,0.046686746987951805,0.14683734939759036
07064,13.2,84,7,285,2847,43.67579908675799,1,0,0.48015454864769935,0.5198454513523006,0.20231822971549,0.19072708113804004,0.02845100105374078,0.04039339655778012,0.30909729539866526,0.2205830698981384,0.008429926238145416,0.007017543859649123,0.05263157894736842,0.3894736842105263,0.22655426765015807,0.08500175623463295,0.35475939585528626,0.0867579908675799,0.24692658939234283
07066,13.1,84,7,149,2933,38.33617456529151,1,0,0.5066484827821344,0.4933515172178657,0.12717354244800547,0.2294578929423798,0.032730992158199794,0.040913740197749744,0.277872485509717,0.2686668939652233,0.023184452778724857,0.0,0.013422818791946308,0.20134228187919462,0.2690078418002046,0.1295601772928742,0.37879304466416636,0.0647800886464371,0.15785884759631777
